	Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating
57	The Boys In The Band	Gentle Giant		Octopus		Progressive Rock	6397412	274			5.0		1973.0	12/28/07, 11:14 AM	1/22/09, 7:55 PM	186	44100		MPEG audio file			1.0	3/22/14, 10:14 PM			60.0
58	Hanky Panky Nohow	John Cale		Paris 1919		Rock	5398426	166			6.0	20.0	1973.0	3/11/14, 6:23 PM	4/7/10, 1:17 PM	256	44100		AAC audio file			1.0	4/7/10, 1:23 PM			60.0
59	If You Really Want To Be My Friend	The Rolling Stones	Jagger/Richards/Mick Jagger	It's Only Rock 'N Roll		Rock	6108590	376	1.0	1.0	8.0	10.0	1974.0	12/28/06, 12:20 AM	7/3/08, 10:10 PM	128	44100		AAC audio file							60.0
60	I Can't Help It If I'm Still In Love With You	Willie Nelson		Red Headed Stranger		Country	4256564	212	1.0	1.0	17.0	19.0	1975.0	1/12/08, 5:50 PM	7/3/08, 10:11 PM	160	44100		MPEG audio file			1.0	8/10/08, 3:13 PM			60.0
61	Plaistow Patricia	Ian Dury		New Boots and Panties!!		Punk	10164453	253			9.0		1977.0	3/11/14, 4:23 PM	6/17/12, 7:12 PM	320	44100		MPEG audio file		++tagged using an unregistered copy of Rip'N'Tagit++	1.0	6/22/12, 11:52 PM			60.0
62	Jumpin' Jack Flash (Live)	The Rolling Stones	Jagger/Richards	Love You Live [Disc 2]		Rock	3938459	242	2.0	2.0	7.0	8.0	1977.0	12/28/06, 12:18 AM	7/3/08, 10:10 PM	128	44100		AAC audio file							60.0
63	Love -> Building On Fire	Talking Heads		Best Of Talking Heads		Rock	2899625	178	1.0	1.0	1.0	18.0	1977.0	12/28/06, 12:29 PM	1/28/09, 9:25 PM	128	44100		AAC audio file			1.0	3/15/14, 10:01 PM			60.0
64	Comes A Time	Neil Young		Comes A Time		Rock	4484992	186			2.0		1978.0	2/11/09, 9:17 PM	1/24/09, 7:02 PM	192	44100		MPEG audio file		..::::by jotun 2007::::..	1.0	5/2/14, 8:15 PM			60.0
65	Big john-hanoi annoys me-th	Fàshiön Music		Pröduct Perfect 		No Wave	14696516	447					1979.0	3/30/08, 9:20 PM	1/22/09, 7:54 PM	256	44100	101.0	MPEG audio file							60.0
66	The Other Window	Wire	Bruce Gilbert, Graham Lewis	154		Alternative	3086310	127	1.0	1.0	4.0	17.0	1979.0	1/9/08, 2:39 PM	2/7/09, 9:23 PM	192	44100		MPEG audio file							60.0
67	Pay to Cum	Bad Brains	Bad Brains/Darryl Jenifer/Dr. Know/Phil Hudson	Bad Brains ROIR		Punk/Hardcore	3426712	85			12.0		1982.0	1/29/09, 11:32 AM	1/30/09, 11:16 AM	320	44100		MPEG audio file			1.0	6/1/12, 2:59 PM			60.0
