	Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating
21	Jah Fire	Hugh Mundell		Jah Fire (With Lacksley Castell & Augustus Pablo) [1980]		Dub	5222116	261			2.0		1980.0	3/11/14, 6:20 PM	7/3/08, 10:08 PM	160	44100		MPEG audio file			1.0	5/31/13, 4:45 PM			40.0
22	Over The Rainbow	Jerry Lee Lewis	Arlen, Harold - Harburg, E.Y.	The Definitive Collection		Rock	3639002	225	1.0	1.0	23.0	24.0	1980.0	1/1/07, 7:55 PM	7/3/08, 10:08 PM	128	44100		AAC audio file					1.0	12/10/08, 4:28 AM	40.0
23	Running Water	Daniel Johnston		Hi, How Are You	Alternative: Indie	Lo-Fi	2243833	92			10.0	15.0	1983.0	9/25/06, 6:06 PM	1/22/09, 7:44 PM	188	44100		MPEG audio file			1.0	6/4/12, 10:01 PM	1.0	9/1/13, 1:33 PM	40.0
24	Nightrain	Guns N' Roses	Guns 'n Roses	Appetite For Destruction		Metal	4313218	268	1.0	1.0	3.0	12.0	1987.0	5/9/05, 8:48 PM	7/3/08, 10:08 PM	128	44100		AAC audio file			1.0	9/8/08, 1:51 PM			40.0
25	Out Ta Get Me	Guns N' Roses	Guns 'n Roses	Appetite For Destruction		Metal	4212108	263	1.0	1.0	4.0	12.0	1987.0	5/9/05, 8:48 PM	7/3/08, 10:08 PM	128	44100		AAC audio file			1.0	9/8/08, 1:55 PM			40.0
26	Just Good Friends	Michael Jackson	Terry Britten, Graham Lyle	Bad		Pop	4026416	248	1.0	1.0	5.0	11.0	1987.0	6/16/05, 9:02 PM	1/21/09, 8:26 PM	128	44100		AAC audio file					1.0	5/9/13, 1:39 PM	40.0
27	Asleep	The Smiths		Louder Than Bombs		Punk	3996268	249			24.0	24.0	1987.0	10/25/06, 8:27 PM	7/3/08, 10:10 PM	128	44100		MPEG audio file							40.0
28	Formula	Dennis Brown		Unchallenged		Reggae	3715150	232			9.0		1990.0	11/28/05, 12:19 AM	12/3/08, 1:02 PM	128	44100		MPEG audio file							40.0
29	My Lovely Man	Red Hot Chili Peppers	Red Hot Chili Peppers	Blood Sugar Sex Magik		Funk	4522435	279	1.0	1.0	15.0	17.0	1991.0	5/9/05, 8:59 PM	7/3/08, 10:09 PM	128	44100		AAC audio file					1.0	7/29/08, 11:57 PM	40.0
30	Time	Blind Melon		Blind Melon		Alternative & Punk	5862836	362	1.0	1.0	13.0	13.0	1992.0	12/24/06, 9:42 AM	7/3/08, 10:06 PM	128	44100		AAC audio file							40.0
31	Yap Yap	Keith Richards		Main Offender		Rock	4584251	282	1.0	1.0	5.0	10.0	1992.0	6/18/05, 4:27 PM	7/3/08, 10:08 PM	128	44100		AAC audio file							40.0
32	All I Really Want	Alanis Morissette	Morissette, Alanis and Glen Ballard/Music by Alanis Morissette and Glen Ballard. Lyrics by Alanis Morissette.	Jagged Little Pill		Alternative	4589240	284	1.0	1.0	1.0	13.0	1995.0	5/9/05, 8:42 PM	7/3/08, 10:06 PM	128	44100		AAC audio file							40.0
33	Right Through You	Alanis Morissette	Morissette, Alanis and Glen Ballard/Music by Alanis Morissette and Glen Ballard. Lyrics by Alanis Morissette.	Jagged Little Pill		Alternative	2838904	175	1.0	1.0	5.0	13.0	1995.0	5/9/05, 8:42 PM	7/3/08, 10:06 PM	128	44100		AAC audio file							40.0
34	Drunk Game (Sweet Sugar Pie)	Ol' Dirty Bastard		Return To The 36 Chambers: The Dirty Version	Elektra Records	Hip-Hop	7075840	260			11.0		1995.0	2/11/09, 10:34 PM	2/7/09, 8:33 PM	212	44100		MPEG audio file							40.0
